Major group,Sub-major group,Minor Group,"Energy, with dietary fibre (kJ)",Protein (g),Total fat (g),Starch (g),Total sugars (g),Dietary fibre (g),Vitamin A retinol equivalents (µg),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Total Folates (µg),Vitamin B6 (mg),Vitamin B12 (µg),Vitamin C (mg),Vitamin E (mg),Calcium (Ca) (mg),Iodine (I) (µg),Iron (Fe) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (µg),Sodium (Na) (mg),Zinc (Zn) (mg),Total saturated fat (g),Total monounsaturated fat (g),Total polyunsaturated fat (g),Linoleic acid (g),Alpha-linolenic acid (g),Total long chain omega 3 fatty acids (mg),Total trans fatty acids (mg)
Alcoholic beverages,Beers,"Beers, > 3.5% alcohol",158,0.4,0,0,0.116666667,0.05,0,0.012166667,0.016166667,0.543333333,2,0.033333333,0,2,0.001666667,3.833333333,0.5,0.045,7.5,15.16666667,39.66666667,0.5,8.5,0.006666667,0,0,0,0,0,0,0
Alcoholic beverages,Beers,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light",110.6666667,0.366666667,0,0,0.1,0.033333333,0,0.023333333,0.006666667,0.423333333,2,0.03,0,2,0,3,0.5,0.09,6.333333333,11,34.33333333,0.5,6,0.013333333,0,0,0,0,0,0,0
Alcoholic beverages,Cider and perry,Cider,188.5,0,0,0,4.75,0,0,0,0,0.2,2,0.02,0,0,0,2,0.5,0.11,3,22,49,0.5,15,0,0,0,0,0,0,0,0
Alcoholic beverages,Cider and perry,Perry,198,0,0,1.5,4,0,0,0,0,0.3,2,0.03,0,0,0,4,0.5,0.16,5,33,73,0.5,22,0,0,0,0,0,0,0,0
Alcoholic beverages,Other alcoholic beverages,Cocktails and other mixed drinks,322.1818182,0.172727273,0.772727273,0,4.027272727,0.090909091,7.090909091,0.004454545,0.009,0.029090909,3.909090909,0.008181818,0.018181818,4.363636364,0.046363636,5.909090909,1.636363636,0.037272727,2.181818182,8.636363636,20.72727273,0.472727273,9.545454545,0.04,0.490909091,0.185454545,0.029090909,0.014545455,0.006363636,1.403636364,38.58636364
Alcoholic beverages,Other alcoholic beverages,Liqueurs,1140.6,1.98,7.54,0.04,18.86,0,94.6,0.004,0.052,0.05,3.8,0.004,0.04,0,0.214,10.2,0.52,0.178,2.2,30.4,22.6,0.44,38.4,0.146,4.65,1.854,0.28,0.182,0.096,0,388.628
Alcoholic beverages,Other alcoholic beverages,Other alcoholic beverages,1762.666667,0.166666667,0.166666667,1.733333333,13.53333333,0.266666667,1,0.003,0.002,0.06,0.666666667,0.006666667,0,0.333333333,0.043333333,7.666666667,0.3,0.273333333,2.333333333,4,8.333333333,0.333333333,2.666666667,0.046666667,0.116666667,0.023333333,0.026666667,0.013333333,0.003333333,0.591333333,2.253333333
Alcoholic beverages,Other alcoholic beverages,"Pre-mixed drinks, cola- or energy-drink based",263.6666667,0.033333333,0,0,9.1,0,0,0.000333333,0.123,1.773333333,0,0.44,0.3,0,0.003333333,3.333333333,1.233333333,0.01,1,13,0.666666667,0.5,27.66666667,0,0,0,0,0,0,0,0
Alcoholic beverages,Other alcoholic beverages,"Pre-mixed drinks, other",240.3333333,0,0,0,8.166666667,0,0,0,0,0,0,0,0,0,0,2.666666667,1.266666667,0.043333333,0.333333333,0.333333333,1,0.5,11,0.05,0,0,0,0,0,0,0
Alcoholic beverages,Spirits,Spirits,827.4444444,0.011111111,0.044444444,0,0.388888889,0,0.555555556,0,0.000222222,0,0,0,0,0,0.001111111,1,0.5,0.053333333,0.888888889,0.222222222,2.444444444,0.5,5,0.036666667,0.027777778,0.011111111,0.002222222,0.001111111,0,0,2.337777778
